name,url,score
摔跤吧！爸爸,/films/588362,9.8
我和我的祖国,/films/1277939,9.7
战狼2,/films/344264,9.7
速度与激情7,/films/78405,9.6
哪吒之魔童降世,/films/1211270,9.6
我不是药神,/films/1200486,9.6
寻梦环游记,/films/342068,9.6
厉害了，我的国,/films/1217637,9.6
火力全开,/films/1187517,9.6
大话西游之月光宝盒,/films/6823,9.6
在刺刀和藩篱下,/films/342291,9.6
疯狂动物城,/films/246286,9.5
绿皮书,/films/1206605,9.5
误杀,/films/1218273,9.5
超能陆战队,/films/79232,9.5
小萝莉的猴神大叔,/films/343136,9.5
绝杀慕尼黑,/films/1204589,9.5
海蒂和爷爷,/films/337625,9.5
冰雪奇缘,/films/78410,9.5
疯狂原始人,/films/78099,9.5
古田军号,/films/1242130,9.5
尺八·一声一世,/films/1215829,9.5
出租车,/films/1220493,9.5
生死地——1937淞沪抗战实录,/films/387932,9.5
少年的你,/films/1218029,9.4
中国机长,/films/1230121,9.4
攀登者,/films/1250700,9.4
叶问4：完结篇,/films/1190122,9.4
银河补习班,/films/1229534,9.4
烈火英雄,/films/1243361,9.4
