author,name,photo,price,url
中兴通讯亚太区实训总部，陈彦彬,★数据通信与计算机网络,https://www.xhsd.cn//opimage/20180831/5036200.jpg,￥37.00,https://www.xhsd.cn/xxy.jsp?plucode=756065004
田文博,★接入网技术,https://www.xhsd.cn//opimage/20181009/5066662.jpg,￥36.00,https://www.xhsd.cn/xxy.jsp?plucode=756064990
王静霞,单片机应用技术 C语言版,https://www.xhsd.cn//opimage/20190114/5164472.jpg,￥49.80,https://www.xhsd.cn/xxy.jsp?plucode=712124453
 ,★物联网工程导论,https://www.xhsd.cn//opimage/20180115/4826612.jpg,￥39.80,https://www.xhsd.cn/xxy.jsp?plucode=704048544
秦智,网络系统集成,https://www.xhsd.cn//opimage/20171109/4774596.jpg,￥32.00,https://www.xhsd.cn/xxy.jsp?plucode=756064588
姚晓平,单片机应用技术项目化教程,https://www.xhsd.cn//opimage/20120911/2649671.jpg,￥24.00,https://www.xhsd.cn/xxy.jsp?plucode=712117472
全国专业技术人员计算机应用能力考试命题研究中心,2016年 2017年考试专用 全国职称计算机考试标准教材与专用题库 Excel 2003中文电子表格,https://www.xhsd.cn//opimage/20160219/4258319.jpg,￥49.80,https://www.xhsd.cn/xxy.jsp?plucode=711540813
张白一,面向对象程序设计：Java（第三版）,https://www.xhsd.cn//opimage/20200204/5473733.jpg,￥50.00,https://www.xhsd.cn/xxy.jsp?plucode=756063063058
全国计算机等级考试教材编写组 未来教育教学与研究中心,★全国计算机等级考试教程 三级网络技术,https://www.xhsd.cn//opimage/20190909/5367244.jpg,￥55.00,https://www.xhsd.cn/xxy.jsp?plucode=711551320
王文革 著,★人工智能关我什么事,https://www.xhsd.cn//opimage/20191104/5407828.jpg,￥58.00,https://www.xhsd.cn/xxy.jsp?plucode=756993198
亨利?布赖顿,★人工智能,https://www.xhsd.cn//opimage/20191127/5424960.jpg,￥39.00,https://www.xhsd.cn/xxy.jsp?plucode=756891873
全国专业技术人员计算机应用能力考试命题研究中心,2016年 2017年考试专用 全国职称计算机考试标准教材与专用题库 PowerPoint 2003中文演示文稿,https://www.xhsd.cn//opimage/20151126/4190966.jpg,￥49.80,https://www.xhsd.cn/xxy.jsp?plucode=711540811
张蓓蓓,产品设计计算机快速表达：Photoshop、SAI及数位板,https://www.xhsd.cn//opimage/20141015/3441500.jpg,￥49.00,https://www.xhsd.cn/xxy.jsp?plucode=750278954
腾讯研究院 中国信通院互联网法律研究中心,★人工智能,https://www.xhsd.cn//opimage/20171020/4754143.jpg,￥68.00,https://www.xhsd.cn/xxy.jsp?plucode=730025050
全国专业技术人员计算机应用能力考试命题研究中心,2016年 2017年考试专用 全国职称计算机考试标准教材与专用题库 中文Windows XP操作系统,https://www.xhsd.cn//opimage/20151126/4190965.jpg,￥49.80,https://www.xhsd.cn/xxy.jsp?plucode=711540808
李开复,★AI·未来,https://www.xhsd.cn//opimage/20180823/5026356.jpg,￥62.00,https://www.xhsd.cn/xxy.jsp?plucode=721308885
谭静,★中老年人零基础学微信和App玩法,https://www.xhsd.cn//opimage/20180319/4884835.jpg,￥59.80,https://www.xhsd.cn/xxy.jsp?plucode=730249071
全国计算机等级考试命题研究中心 未来教育教学与研究中心,★2018年无纸化考试专用 全国计算机等级考试历年真题与机考题库 三级网络技术,https://www.xhsd.cn//opimage/20171025/4758938.jpg,￥32.00,https://www.xhsd.cn/xxy.jsp?plucode=711546911
黑马程序员,★Python快速编程入门,https://www.xhsd.cn//opimage/20170830/4710386.jpg,￥39.80,https://www.xhsd.cn/xxy.jsp?plucode=711545836
（美）本贾尼•斯特劳斯特鲁普,C++程序设计语言（第1~3部分）（原书第4版）,https://www.xhsd.cn//opimage/20160711/4370567.jpg,￥139.00,https://www.xhsd.cn/xxy.jsp?plucode=711153941
凤凰高新教育编著,PPT 2019完全自学教程,https://www.xhsd.cn//opimage/20190509/5258305.jpg,￥99.00,https://www.xhsd.cn/xxy.jsp?plucode=73013039101
"孟昭莉,韩元佳,杨才勇,许晨",★绚丽变革：互联网改变中国（中宣部2019年主题出版重点出版物）,https://www.xhsd.cn//opimage/20190924/5379714.jpg,￥69.00,https://www.xhsd.cn/xxy.jsp?plucode=711551860
编程猫教材与出版中心,★玩着也能学编程,https://www.xhsd.cn//opimage/20191224/5445717.jpg,￥88.00,https://www.xhsd.cn/xxy.jsp?plucode=757130599
 ,★全国计算机等级考试一级教程--计算机基础及MS Office应用（2019年版）,https://www.xhsd.cn//opimage/20181126/5111691.jpg,￥42.50,https://www.xhsd.cn/xxy.jsp?plucode=704050752
